s,t,v
0.0,0.0,0.0
1.0,0.197,5.07614213198
2.0,0.363,5.50964187328
3.0,0.507,5.91715976331
4.0,0.663,6.03318250377
5.0,0.797,6.27352572146
6.0,0.93,6.45161290323
7.0,1.096,6.38686131387
8.0,1.23,6.50406504065
9.0,1.396,6.44699140401
10.0,1.53,6.53594771242
15.0,2.229,6.72947510094
20.0,2.929,6.8282690338
25.0,3.596,6.95216907675
30.0,4.295,6.9848661234
35.0,4.962,7.05360741636
40.0,5.662,7.06464146945
45.0,6.395,7.03674745895
50.0,7.061,7.08114997876
55.0,7.794,7.05671028997
60.0,8.527,7.03647238185
65.0,9.26,7.01943844492
70.0,9.96,7.0281124498
